date, Time, Sec since start, Connected, Data changed, AccelSensor.temperature, AccelSensor.x, AccelSensor.y, AccelSensor.z
2013-12-24, 14:03:58.391, 2.415, 1, 1, 25.21176529, -0.2622546554, -0.4059558213, -7.63173008
2013-12-24, 14:03:58.415, 2.439, 1, 0, 25.21176529, -0.2622546554, -0.4059558213, -7.63173008
2013-12-24, 14:03:58.490, 2.514, 1, 1, 25.3058815, -0.2335144132, -0.3867956698, -7.653285027
2013-12-24, 14:03:58.515, 2.539, 1, 0, 25.3058815, -0.2335144132, -0.3867956698, -7.653285027
2013-12-24, 14:03:58.591, 2.615, 1, 1, 25.21176529, -0.2933899164, -0.3963757455, -7.67963028
2013-12-24, 14:03:58.625, 2.649, 1, 0, 25.21176529, -0.2933899164, -0.3963757455, -7.67963028
2013-12-24, 14:03:58.691, 2.715, 1, 1, 25.21176529, -0.2215393186, -0.3772155941, -7.670050144
2013-12-24, 14:03:58.710, 2.734, 1, 0, 25.21176529, -0.2215393186, -0.3772155941, -7.670050144
2013-12-24, 14:03:58.790, 2.814, 1, 1, 25.21176529, -0.2838098407, -0.346080333, -7.705975533
2013-12-24, 14:03:58.816, 2.84, 1, 0, 25.21176529, -0.2838098407, -0.346080333, -7.705975533
2013-12-24, 14:03:58.891, 2.915, 1, 1, 25.21176529, -0.2622546554, -0.3125500679, -7.646100044
2013-12-24, 14:03:58.917, 2.941, 1, 0, 25.21176529, -0.2622546554, -0.3125500679, -7.646100044
2013-12-24, 14:03:58.991, 3.015, 1, 1, 25.21176529, -0.2383044511, -0.3724255562, -7.62694025
2013-12-24, 14:03:59.10, 3.034, 1, 0, 25.21176529, -0.2383044511, -0.3724255562, -7.62694025
2013-12-24, 14:03:59.90, 3.114, 1, 1, 25.3058815, -0.279019773, -0.4275110066, -7.744296074
2013-12-24, 14:03:59.110, 3.134, 1, 0, 25.3058815, -0.279019773, -0.4275110066, -7.744296074
2013-12-24, 14:03:59.190, 3.214, 1, 1, 25.3058815, -0.2239343375, -0.4107458591, -7.777826309
2013-12-24, 14:03:59.218, 3.242, 1, 0, 25.3058815, -0.2239343375, -0.4107458591, -7.777826309
2013-12-24, 14:03:59.290, 3.314, 1, 1, 25.21176529, -0.2215393186, -0.4203259349, -7.751481056
2013-12-24, 14:03:59.320, 3.344, 1, 0, 25.21176529, -0.2215393186, -0.4203259349, -7.751481056
2013-12-24, 14:03:59.391, 3.415, 1, 1, 25.3058815, -0.2574646175, -0.4203259349, -7.732320786
2013-12-24, 14:03:59.411, 3.435, 1, 0, 25.3058815, -0.2574646175, -0.4203259349, -7.732320786
2013-12-24, 14:03:59.491, 3.515, 1, 1, 25.3058815, -0.1880090386, -0.3365002573, -7.667655468
2013-12-24, 14:03:59.513, 3.537, 1, 0, 25.3058815, -0.1880090386, -0.3365002573, -7.667655468
2013-12-24, 14:03:59.591, 3.615, 1, 1, 25.3058815, -0.2167492807, -0.4227209687, -7.67484045
2013-12-24, 14:03:59.612, 3.636, 1, 0, 25.3058815, -0.2167492807, -0.4227209687, -7.67484045
2013-12-24, 14:03:59.689, 3.713, 1, 1, 25.3058815, -0.207169205, -0.30776003, -7.658075333
2013-12-24, 14:03:59.711, 3.735, 1, 0, 25.3058815, -0.207169205, -0.30776003, -7.658075333
2013-12-24, 14:03:59.789, 3.813, 1, 1, 25.3058815, -0.2526745796, -0.4059558213, -7.593409538
2013-12-24, 14:03:59.818, 3.842, 1, 0, 25.3058815, -0.2526745796, -0.4059558213, -7.593409538
2013-12-24, 14:03:59.889, 3.913, 1, 1, 25.3058815, -0.2718347311, -0.3796105981, -7.660470486
2013-12-24, 14:03:59.913, 3.937, 1, 0, 25.3058815, -0.2718347311, -0.3796105981, -7.660470486
2013-12-24, 14:03:59.991, 4.015, 1, 1, 25.21176529, -0.1760339439, -0.4107458591, -7.725135803
2013-12-24, 14:04:00.33, 4.057, 1, 0, 25.21176529, -0.1760339439, -0.4107458591, -7.725135803
2013-12-24, 14:04:00.90, 4.114, 1, 1, 25.21176529, -0.2023791522, -0.3676355183, -7.715555668
2013-12-24, 14:04:00.110, 4.134, 1, 0, 25.21176529, -0.2023791522, -0.3676355183, -7.715555668
2013-12-24, 14:04:00.191, 4.215, 1, 1, 25.39999962, -0.2502795458, -0.4011657834, -7.67963028
2013-12-24, 14:04:00.228, 4.252, 1, 0, 25.39999962, -0.2502795458, -0.4011657834, -7.67963028
2013-12-24, 14:04:00.290, 4.314, 1, 1, 25.3058815, -0.2239343375, -0.3891907036, -7.720345974
2013-12-24, 14:04:00.310, 4.334, 1, 0, 25.3058815, -0.2239343375, -0.3891907036, -7.720345974
2013-12-24, 14:04:00.390, 4.414, 1, 1, 25.39999962, -0.2335144132, -0.3293151855, -7.67963028
2013-12-24, 14:04:00.412, 4.436, 1, 0, 25.39999962, -0.2335144132, -0.3293151855, -7.67963028
2013-12-24, 14:04:00.489, 4.513, 1, 1, 25.21176529, -0.2119592428, -0.3820056319, -7.72274065
2013-12-24, 14:04:00.513, 4.537, 1, 0, 25.21176529, -0.2119592428, -0.3820056319, -7.72274065
2013-12-24, 14:04:00.590, 4.614, 1, 1, 25.3058815, -0.1688488871, -0.4418811202, -7.653285027
2013-12-24, 14:04:00.611, 4.635, 1, 0, 25.3058815, -0.1688488871, -0.4418811202, -7.653285027
2013-12-24, 14:04:00.689, 4.713, 1, 1, 25.3058815, -0.2862048447, -0.3053649962, -7.753876209
2013-12-24, 14:04:00.713, 4.737, 1, 0, 25.3058815, -0.2862048447, -0.3053649962, -7.753876209
2013-12-24, 14:04:00.790, 4.814, 1, 1, 25.3058815, -0.2215393186, -0.3388952911, -7.667655468
2013-12-24, 14:04:00.816, 4.84, 1, 0, 25.3058815, -0.2215393186, -0.3388952911, -7.667655468
2013-12-24, 14:04:00.889, 4.913, 1, 1, 25.3058815, -0.2263293564, -0.3748205602, -7.662865162
2013-12-24, 14:04:00.911, 4.935, 1, 0, 25.3058815, -0.2263293564, -0.3748205602, -7.662865162
2013-12-24, 14:04:00.990, 5.014, 1, 1, 25.3058815, -0.2574646175, -0.4083508551, -7.684420586
2013-12-24, 14:04:01.14, 5.038, 1, 0, 25.3058815, -0.2574646175, -0.4083508551, -7.684420586
2013-12-24, 14:04:01.90, 5.114, 1, 1, 25.3058815, -0.2454895079, -0.4107458591, -7.696395397
2013-12-24, 14:04:01.110, 5.134, 1, 0, 25.3058815, -0.2454895079, -0.4107458591, -7.696395397
2013-12-24, 14:04:01.190, 5.214, 1, 1, 25.21176529, -0.2023791522, -0.3939807415, -7.741900921
2013-12-24, 14:04:01.210, 5.234, 1, 0, 25.21176529, -0.2023791522, -0.3939807415, -7.741900921
2013-12-24, 14:04:01.290, 5.314, 1, 1, 25.3058815, -0.2622546554, -0.4370910823, -7.672445297
2013-12-24, 14:04:01.319, 5.343, 1, 0, 25.3058815, -0.2622546554, -0.4370910823, -7.672445297
2013-12-24, 14:04:01.390, 5.414, 1, 1, 25.3058815, -0.2239343375, -0.3915857077, -7.756270885
2013-12-24, 14:04:01.424, 5.448, 1, 0, 25.3058815, -0.2239343375, -0.3915857077, -7.756270885
2013-12-24, 14:04:01.490, 5.514, 1, 1, 25.3058815, -0.2622546554, -0.3269201815, -7.672445297
2013-12-24, 14:04:01.521, 5.545, 1, 0, 25.3058815, -0.2622546554, -0.3269201815, -7.672445297
2013-12-24, 14:04:01.591, 5.615, 1, 1, 25.3058815, -0.2742297351, -0.4394861162, -7.62694025
2013-12-24, 14:04:01.617, 5.641, 1, 0, 25.3058815, -0.2742297351, -0.4394861162, -7.62694025
2013-12-24, 14:04:01.691, 5.715, 1, 1, 25.3058815, -0.1784289628, -0.4059558213, -7.725135803
2013-12-24, 14:04:01.710, 5.734, 1, 0, 25.3058815, -0.1784289628, -0.4059558213, -7.725135803
2013-12-24, 14:04:01.791, 5.815, 1, 1, 25.3058815, -0.243094489, -0.3844006658, -7.643705368
2013-12-24, 14:04:01.816, 5.84, 1, 0, 25.3058815, -0.243094489, -0.3844006658, -7.643705368
2013-12-24, 14:04:01.890, 5.914, 1, 1, 25.21176529, -0.2526745796, -0.3844006658, -7.638915062
2013-12-24, 14:04:01.910, 5.934, 1, 0, 25.21176529, -0.2526745796, -0.3844006658, -7.638915062
2013-12-24, 14:04:01.990, 6.014, 1, 1, 25.3058815, -0.1999841332, -0.3724255562, -7.658075333
2013-12-24, 14:04:02.12, 6.036, 1, 0, 25.3058815, -0.1999841332, -0.3724255562, -7.658075333
2013-12-24, 14:04:02.90, 6.114, 1, 1, 25.3058815, -0.2838098407, -0.3820056319, -7.60777998
2013-12-24, 14:04:02.119, 6.143, 1, 0, 25.3058815, -0.2838098407, -0.3820056319, -7.60777998
2013-12-24, 14:04:02.190, 6.214, 1, 1, 25.3058815, -0.2095642239, -0.4203259349, -7.660470486
2013-12-24, 14:04:02.218, 6.242, 1, 0, 25.3058815, -0.2095642239, -0.4203259349, -7.660470486
2013-12-24, 14:04:02.289, 6.313, 1, 1, 25.3058815, -0.243094489, -0.3987707794, -7.739505768
2013-12-24, 14:04:02.311, 6.335, 1, 0, 25.3058815, -0.243094489, -0.3987707794, -7.739505768
2013-12-24, 14:04:02.391, 6.415, 1, 1, 25.3058815, -0.2670446932, -0.4251159728, -7.636519909
