date, Time, Sec since start, Connected, Data changed, GyroSensor.temperature, GyroSensor.x, GyroSensor.y, GyroSensor.z
2013-12-24, 14:04:00.911, 4.931, 1, 1, 25.3058815, 1.341463447, -1.615853667, 1.432926893
2013-12-24, 14:04:01.15, 5.035, 1, 1, 25.21176529, 1.310975671, -1.79878056, 1.493902445
2013-12-24, 14:04:01.110, 5.13, 1, 1, 25.3058815, 1.219512224, -1.79878056, 1.646341562
2013-12-24, 14:04:01.210, 5.23, 1, 1, 25.3058815, 1.280487776, -1.707317114, 1.646341562
2013-12-24, 14:04:01.319, 5.339, 1, 1, 25.3058815, 1.371951222, -1.676829338, 1.493902445
2013-12-24, 14:04:01.424, 5.444, 1, 1, 25.21176529, 1.432926893, -1.676829338, 1.493902445
2013-12-24, 14:04:01.521, 5.541, 1, 1, 25.3058815, 1.189024448, -1.676829338, 1.371951222
2013-12-24, 14:04:01.617, 5.637, 1, 1, 25.3058815, 1.25, -1.768292665, 1.73780489
2013-12-24, 14:04:01.710, 5.73, 1, 1, 25.3058815, 1.371951222, -1.73780489, 1.554878116
2013-12-24, 14:04:01.816, 5.836, 1, 1, 25.3058815, 1.219512224, -1.707317114, 1.371951222
2013-12-24, 14:04:01.910, 5.93, 1, 1, 25.3058815, 1.341463447, -1.585365891, 1.615853667
2013-12-24, 14:04:02.12, 6.032, 1, 1, 25.3058815, 1.371951222, -1.73780489, 1.524390221
2013-12-24, 14:04:02.119, 6.139, 1, 1, 25.3058815, 1.524390221, -1.79878056, 1.463414669
2013-12-24, 14:04:02.219, 6.239, 1, 1, 25.3058815, 1.402439117, -1.615853667, 1.524390221
2013-12-24, 14:04:02.311, 6.331, 1, 1, 25.3058815, 1.432926893, -1.646341562, 1.371951222
2013-12-24, 14:04:02.411, 6.431, 1, 1, 25.3058815, 1.371951222, -1.768292665, 1.402439117
2013-12-24, 14:04:02.518, 6.538, 1, 1, 25.3058815, 1.493902445, -1.676829338, 1.554878116
2013-12-24, 14:04:02.616, 6.636, 1, 1, 25.3058815, 1.219512224, -1.73780489, 1.402439117
2013-12-24, 14:04:02.711, 6.731, 1, 1, 25.39999962, 1.371951222, -1.79878056, 1.585365891
2013-12-24, 14:04:02.828, 6.848, 1, 1, 25.3058815, 1.280487776, -1.676829338, 1.493902445
2013-12-24, 14:04:02.919, 6.939, 1, 1, 25.21176529, 1.402439117, -1.890244007, 1.554878116
2013-12-24, 14:04:03.16, 7.036, 1, 1, 25.21176529, 1.432926893, -1.79878056, 1.463414669
2013-12-24, 14:04:03.116, 7.136, 1, 1, 25.3058815, 1.310975671, -1.768292665, 1.615853667
2013-12-24, 14:04:03.216, 7.236, 1, 1, 25.3058815, 1.341463447, -1.859756112, 1.646341562
2013-12-24, 14:04:03.310, 7.33, 1, 1, 25.39999962, 1.25, -1.676829338, 1.463414669
2013-12-24, 14:04:03.417, 7.437, 1, 1, 25.3058815, 1.402439117, -1.768292665, 1.493902445
2013-12-24, 14:04:03.515, 7.535, 1, 1, 25.3058815, 1.341463447, -1.707317114, 1.463414669
2013-12-24, 14:04:03.617, 7.637, 1, 1, 25.3058815, 1.280487776, -1.676829338, 1.554878116
2013-12-24, 14:04:03.711, 7.731, 1, 1, 25.3058815, 1.463414669, -1.768292665, 1.646341562
2013-12-24, 14:04:03.816, 7.836, 1, 1, 25.21176529, 1.280487776, -1.585365891, 1.524390221
2013-12-24, 14:04:03.911, 7.931, 1, 1, 25.3058815, 1.463414669, -1.707317114, 1.432926893
2013-12-24, 14:04:04.24, 8.044, 1, 1, 25.3058815, 1.128048778, -1.646341562, 1.463414669
2013-12-24, 14:04:04.112, 8.132, 1, 1, 25.3058815, 1.341463447, -1.646341562, 1.402439117
2013-12-24, 14:04:04.212, 8.232, 1, 1, 25.21176529, 1.25, -1.859756112, 1.524390221
2013-12-24, 14:04:04.310, 8.33, 1, 1, 25.39999962, 1.25, -1.79878056, 1.524390221
2013-12-24, 14:04:04.424, 8.444, 1, 1, 25.21176529, 1.25, -1.554878116, 1.524390221
