date, Time, Sec since start, Connected, Data changed, GyroSensor.temperature, GyroSensor.x, GyroSensor.y, GyroSensor.z
2013-12-22, 17:39:38.71, 2139.67, 1, 1, -2.835296631, 1.097561002, 0.3353657126, -1.859756112
2013-12-22, 17:39:38.267, 2139.86, 1, 1, -2.835296631, 1.006097555, 0.3353657126, -1.859756112
2013-12-22, 17:39:38.467, 2140.06, 1, 1, -2.741176605, 1.219512224, 0.3658535182, -1.676829338
2013-12-22, 17:39:38.667, 2140.26, 1, 1, -2.741176605, 1.097561002, 0.2439022958, -1.768292665
2013-12-22, 17:39:38.867, 2140.46, 1, 1, -2.647060394, 0.8536585569, 0.3048778772, -2.01219511
2013-12-22, 17:39:39.67, 2140.66, 1, 1, -2.647060394, 1.158536673, 0.3048778772, -1.890244007
2013-12-22, 17:39:39.267, 2140.86, 1, 1, -2.552940369, 1.036585331, 0.2134144753, -1.951219559
2013-12-22, 17:39:39.467, 2141.06, 1, 1, -2.647060394, 1.036585331, 0.3353657126, -1.859756112
2013-12-22, 17:39:39.667, 2141.26, 1, 1, -2.647060394, 1.158536673, 0.3353656828, -1.951219559
2013-12-22, 17:39:39.867, 2141.46, 1, 1, -2.552940369, 1.036585331, 0.3658535182, -1.768292665
2013-12-22, 17:39:40.67, 2141.66, 1, 1, -2.458824158, 0.9451220036, 0.3963412941, -2.01219511
2013-12-22, 17:39:40.267, 2141.86, 1, 1, -2.458824158, 1.006097555, 0.1524388492, -2.042682886
2013-12-22, 17:39:40.467, 2142.06, 1, 1, -2.364707947, 0.9146341681, 0.3963413239, -1.859756112
2013-12-22, 17:39:40.667, 2142.26, 1, 1, -2.270587921, 1.097561002, 0.3048778772, -1.890244007
2013-12-22, 17:39:40.867, 2142.46, 1, 1, -2.364707947, 0.9146341681, 0.3048778772, -1.890244007
2013-12-22, 17:39:41.67, 2142.66, 1, 1, -2.17647171, 1.128048778, 0.304877907, -1.829268336
2013-12-22, 17:39:41.267, 2142.86, 1, 1, -2.17647171, 1.128048778, 0.4268291295, -1.829268336
2013-12-22, 17:39:41.467, 2143.06, 1, 1, -2.17647171, 0.9451220036, 0.3048778772, -1.981707335
2013-12-22, 17:39:41.667, 2143.26, 1, 1, -2.17647171, 1.097561002, 0.3658534884, -1.890244007
2013-12-22, 17:39:41.867, 2143.46, 1, 1, -2.082355499, 1.158536673, 0.2439022809, -1.920731783
2013-12-22, 17:39:42.67, 2143.66, 1, 1, -2.082355499, 1.189024448, 0.3353656828, -1.951219559
2013-12-22, 17:39:42.267, 2143.86, 1, 1, -2.082355499, 1.280487776, 0.3353656828, -1.951219559
2013-12-22, 17:39:42.467, 2144.06, 1, 1, -2.082355499, 1.067073226, 0.2743900716, -2.073170662
2013-12-22, 17:39:42.667, 2144.26, 1, 1, -1.988235474, 1.128048778, 0.3353657126, -1.859756112
2013-12-22, 17:39:42.867, 2144.46, 1, 1, -1.988235474, 1.067073226, 0.5182924867, -1.890244007
2013-12-22, 17:39:43.67, 2144.66, 1, 1, -1.894119263, 1.189024448, 0.1524388641, -1.79878056
2013-12-22, 17:39:43.267, 2144.86, 1, 1, -1.988235474, 1.067073226, 0.3658534884, -2.073170662
2013-12-22, 17:39:43.467, 2145.06, 1, 1, -1.894119263, 1.219512224, 0.3658534884, -1.890244007
2013-12-22, 17:39:43.667, 2145.26, 1, 1, -1.799999237, 0.9756097794, 0.3963413239, -1.707317114
2013-12-22, 17:39:43.867, 2145.46, 1, 1, -1.705883026, 0.8841463327, 0.3353656828, -1.920731783
2013-12-22, 17:39:44.67, 2145.66, 1, 1, -1.705883026, 0.9451220036, 0.4878047407, -1.829268336
2013-12-22, 17:39:44.267, 2145.86, 1, 1, -1.705883026, 1.097561002, 0.1219510585, -1.890244007
2013-12-22, 17:39:44.467, 2146.06, 1, 1, -1.705883026, 1.006097555, 0.3353657126, -1.646341562
2013-12-22, 17:39:44.667, 2146.26, 1, 1, -1.705883026, 0.9756097794, 0.3963413239, -1.829268336
2013-12-22, 17:39:44.867, 2146.46, 1, 1, -1.611766815, 1.25, 0.3963412941, -1.951219559
2013-12-22, 17:39:45.67, 2146.66, 1, 1, -1.51764679, 0.9756097794, 0.4573169053, -1.920731783
2013-12-22, 17:39:45.267, 2146.86, 1, 1, -1.51764679, 1.189024448, 0.4878047109, -2.01219511
2013-12-22, 17:39:45.467, 2147.06, 1, 1, -1.423530579, 1.097561002, 0.3048778772, -1.920731783
2013-12-22, 17:39:45.667, 2147.26, 1, 1, -1.611766815, 1.158536673, 0.3963412941, -1.951219559
2013-12-22, 17:39:45.867, 2147.46, 1, 1, -1.423530579, 1.036585331, 0.3353657126, -1.73780489
2013-12-22, 17:39:46.67, 2147.66, 1, 1, -1.329414368, 1.158536673, 0.4573169053, -1.890244007
2013-12-22, 17:39:46.271, 2147.87, 1, 1, -1.423530579, 1.158536673, 0.3963412941, -2.073170662
2013-12-22, 17:39:46.467, 2148.06, 1, 1, -1.329414368, 1.097561002, 0.1524388641, -1.951219559
2013-12-22, 17:39:46.671, 2148.27, 1, 1, -1.329414368, 1.128048778, 0.4268290997, -1.951219559
2013-12-22, 17:39:46.871, 2148.47, 1, 1, -1.235294342, 0.8536585569, 0.5487803221, -1.890244007
