date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.RawPressure, BaroSensor.RawTemperature, BaroSensor.Temperature
date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.RawPressure, BaroSensor.RawTemperature, BaroSensor.Temperature
2013-12-09, 22:03:41.45, 0.315, 1, 1, -158.4730225, 103.2430038, 8433776, 7181424, -6.449999809
2013-12-09, 22:03:41.161, 0.431, 1, 1, -157.9815521, 103.2370071, 8431984, 7185776, -6.309999943
2013-12-09, 22:03:41.665, 0.935, 1, 1, -158.1453705, 103.239006, 8429296, 7193456, -6.049999714
2013-12-09, 22:03:41.45, 0.315, 1, 1, -158.4730225, 103.2430038, 8433776, 7181424, -6.449999809
2013-12-09, 22:03:41.161, 0.431, 1, 1, -157.9815521, 103.2370071, 8431984, 7185776, -6.309999943
2013-12-09, 22:03:41.665, 0.935, 1, 1, -158.1453705, 103.239006, 8429296, 7193456, -6.049999714
2013-12-09, 22:03:42.170, 1.44, 1, 1, -158.3884735, 103.2420044, 8428400, 7196272, -5.949999809
2013-12-09, 22:03:42.170, 1.44, 1, 1, -158.3884735, 103.2420044, 8428400, 7196272, -5.949999809
2013-12-09, 22:03:42.660, 1.93, 1, 1, -157.9815521, 103.2370071, 8427376, 7198576, -5.869999886
2013-12-09, 22:03:43.157, 2.427, 1, 1, -157.4055481, 103.2300034, 8426224, 7201008, -5.789999962
2013-12-09, 22:03:42.661, 1.931, 1, 1, -157.9815521, 103.2370071, 8427376, 7198576, -5.869999886
2013-12-09, 22:03:43.157, 2.427, 1, 1, -157.4055481, 103.2300034, 8426224, 7201008, -5.789999962
2013-12-09, 22:03:43.656, 2.926, 1, 1, -157.1624451, 103.227005, 8425456, 7202800, -5.730000019
2013-12-09, 22:03:44.152, 3.422, 1, 1, -157.0778961, 103.2260056, 8424688, 7204848, -5.659999847
2013-12-09, 22:03:43.656, 2.926, 1, 1, -157.1624451, 103.227005, 8425456, 7202800, -5.730000019
2013-12-09, 22:03:44.153, 3.423, 1, 1, -157.0778961, 103.2260056, 8424688, 7204848, -5.659999847
2013-12-09, 22:03:44.656, 3.926, 1, 1, -156.8348083, 103.2230072, 8423920, 7206640, -5.599999905
2013-12-09, 22:03:45.152, 4.422, 1, 1, -157.0778961, 103.2260056, 8423408, 7208432, -5.539999962
2013-12-09, 22:03:44.657, 3.927, 1, 1, -156.8348083, 103.2230072, 8423920, 7206640, -5.599999905
2013-12-09, 22:03:45.153, 4.423, 1, 1, -157.0778961, 103.2260056, 8423408, 7208432, -5.539999962
2013-12-09, 22:03:45.652, 4.922, 1, 1, -156.5071716, 103.2190018, 8422512, 7210096, -5.480000019
2013-12-09, 22:03:46.148, 5.418, 1, 1, -156.4226074, 103.2180023, 8421872, 7211760, -5.429999828
2013-12-09, 22:03:45.653, 4.923, 1, 1, -156.5071716, 103.2190018, 8422512, 7210096, -5.480000019
2013-12-09, 22:03:46.149, 5.419, 1, 1, -156.4226074, 103.2180023, 8421872, 7211760, -5.429999828
2013-12-09, 22:03:46.648, 5.918, 1, 1, -155.5189514, 103.2070084, 8420720, 7213808, -5.359999657
2013-12-09, 22:03:47.145, 6.415, 1, 1, -155.5189514, 103.2070084, 8420080, 7215600, -5.299999714
2013-12-09, 22:03:46.649, 5.919, 1, 1, -155.5189514, 103.2070084, 8420720, 7213808, -5.359999657
2013-12-09, 22:03:47.145, 6.415, 1, 1, -155.5189514, 103.2070084, 8420080, 7215600, -5.299999714
2013-12-09, 22:03:47.649, 6.919, 1, 1, -155.682785, 103.2090073, 8419568, 7217264, -5.239999771
2013-12-09, 22:03:48.144, 7.414, 1, 1, -155.2758636, 103.2040024, 8418672, 7219184, -5.179999828
2013-12-09, 22:03:47.649, 6.919, 1, 1, -155.682785, 103.2090073, 8419568, 7217264, -5.239999771
2013-12-09, 22:03:48.145, 7.415, 1, 1, -155.2758636, 103.2040024, 8418672, 7219184, -5.179999828
2013-12-09, 22:03:48.645, 7.915, 1, 1, -155.439682, 103.2060013, 8418288, 7220464, -5.130000114
2013-12-09, 22:03:49.140, 8.41, 1, 1, -155.0274963, 103.201004, 8417392, 7222384, -5.069999695
2013-12-09, 22:03:48.645, 7.915, 1, 1, -155.439682, 103.2060013, 8418288, 7220464, -5.130000114
2013-12-09, 22:03:49.141, 8.411, 1, 1, -155.0274963, 103.201004, 8417392, 7222384, -5.069999695
2013-12-09, 22:03:49.641, 8.911, 1, 1, -155.1120453, 103.2020035, 8416752, 7224304,  -5
2013-12-09, 22:03:50.136, 9.406, 1, 1, -154.6205902, 103.1960068, 8415856, 7226096, -4.940000057
2013-12-09, 22:03:49.641, 8.911, 1, 1, -155.1120453, 103.2020035, 8416752, 7224304,  -5
2013-12-09, 22:03:50.137, 9.407, 1, 1, -154.6205902, 103.1960068, 8415856, 7226096, -4.940000057
2013-12-09, 22:03:50.640, 9.91, 1, 1, -154.536026, 103.1950073, 8415216, 7227760, -4.889999866
