date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.RawPressure, BaroSensor.RawTemperature, BaroSensor.Temperature
date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.RawPressure, BaroSensor.RawTemperature, BaroSensor.Temperature
2013-12-09, 19:30:22.76, 0.296, 1, 1, -157.2417145, 103.2280045, 8441456, 7158384, -10.23999977
2013-12-09, 19:30:22.224, 0.444, 1, 1, -157.490097, 103.2310028, 8439664, 7163760, -10.0199995
2013-12-09, 19:30:22.77, 0.297, 1, 1, -157.2417145, 103.2280045, 8441456, 7158384, -10.23999977
2013-12-09, 19:30:22.225, 0.445, 1, 1, -157.490097, 103.2310028, 8439664, 7163760, -10.0199995
2013-12-09, 19:30:23.228, 1.448, 1, 1, -157.2417145, 103.2280045, 8436208, 7172976, -9.63999939
2013-12-09, 19:30:23.228, 1.448, 1, 1, -157.2417145, 103.2280045, 8436208, 7172976, -9.63999939
2013-12-09, 19:30:24.220, 2.44, 1, 1, -156.3380585, 103.2170029, 8434544, 7176304, -9.510000229
2013-12-09, 19:30:24.221, 2.441, 1, 1, -156.3380585, 103.2170029, 8434544, 7176304, -9.510000229
2013-12-09, 19:30:25.216, 3.436, 1, 1, -156.7502594, 103.2220078, 8433648, 7179376, -9.380000114
2013-12-09, 19:30:25.217, 3.437, 1, 1, -156.7502594, 103.2220078, 8433648, 7179376, -9.380000114
2013-12-09, 19:30:26.216, 4.436, 1, 1, -156.2587891, 103.2160034, 8432240, 7182576, -9.239999771
2013-12-09, 19:30:26.217, 4.437, 1, 1, -156.2587891, 103.2160034, 8432240, 7182576, -9.239999771
2013-12-09, 19:30:27.212, 5.432, 1, 1, -155.3551331, 103.2050018, 8430704, 7185648, -9.119999886
2013-12-09, 19:30:27.213, 5.433, 1, 1, -155.3551331, 103.2050018, 8430704, 7185648, -9.119999886
2013-12-09, 19:30:28.212, 6.432, 1, 1, -155.0274963, 103.201004, 8429424, 7188720,  -9
2013-12-09, 19:30:28.212, 6.432, 1, 1, -155.0274963, 103.201004, 8429424, 7188720,  -9
2013-12-09, 19:30:29.208, 7.428, 1, 1, -154.863678, 103.1990051, 8428272, 7191792, -8.869999886
2013-12-09, 19:30:29.208, 7.428, 1, 1, -154.863678, 103.1990051, 8428272, 7191792, -8.869999886
2013-12-09, 19:30:30.204, 8.424, 1, 1, -154.2876587, 103.1920013, 8426864, 7194864, -8.75
2013-12-09, 19:30:30.204, 8.424, 1, 1, -154.2876587, 103.1920013, 8426864, 7194864, -8.75
2013-12-09, 19:30:31.204, 9.424, 1, 1, -154.2876587, 103.1920013, 8425840, 7197680, -8.630000114
2013-12-09, 19:30:31.204, 9.424, 1, 1, -154.2876587, 103.1920013, 8425840, 7197680, -8.630000114
2013-12-09, 19:30:32.200, 10.42, 1, 1, -153.3047333, 103.1800079, 8424304, 7200624, -8.5
2013-12-09, 19:30:32.200, 10.42, 1, 1, -153.3047333, 103.1800079, 8424304, 7200624, -8.5
2013-12-09, 19:30:33.199, 11.419, 1, 1, -153.3047333, 103.1800079, 8423152, 7203824, -8.380000114
2013-12-09, 19:30:33.199, 11.419, 1, 1, -153.3047333, 103.1800079, 8423152, 7203824, -8.380000114
2013-12-09, 19:30:34.198, 12.418, 1, 1, -153.0616455, 103.177002, 8422000, 7206768, -8.260000229
2013-12-09, 19:30:34.198, 12.418, 1, 1, -153.0616455, 103.177002, 8422000, 7206768, -8.260000229
2013-12-09, 19:30:35.198, 13.418, 1, 1, -153.3892822, 103.1810074, 8420976, 7210096, -8.119999886
2013-12-09, 19:30:35.198, 13.418, 1, 1, -153.3892822, 103.1810074, 8420976, 7210096, -8.119999886
2013-12-09, 19:30:36.188, 14.408, 1, 1, -152.6494446, 103.1720047, 8419568, 7212912, -8.010000229
2013-12-09, 19:30:36.189, 14.409, 1, 1, -152.6494446, 103.1720047, 8419568, 7212912, -8.010000229
2013-12-09, 19:30:37.188, 15.408, 1, 1, -152.4010773, 103.1690063, 8418544, 7215472, -7.899999619
2013-12-09, 19:30:38.185, 16.405, 1, 1, -151.9096069, 103.163002, 8417264, 7218416, -7.779999733
2013-12-09, 19:30:39.180, 17.4, 1, 1, -151.9941711, 103.1640015, 8416240, 7221360, -7.659999847
2013-12-09, 19:30:40.181, 18.401, 1, 1, -151.5027008, 103.1580048, 8414960, 7224304, -7.539999962
2013-12-09, 19:30:41.178, 19.398, 1, 1, -151.3336029, 103.1560059, 8413936, 7226864, -7.440000057
2013-12-09, 19:30:42.176, 20.396, 1, 1, -151.1750641, 103.154007, 8412784, 7229936, -7.309999943
2013-12-09, 19:30:43.176, 21.396, 1, 1, -150.0230255, 103.140007, 8411248, 7232624, -7.199999809
2013-12-09, 19:30:44.172, 22.392, 1, 1, -150.2714081, 103.1430054, 8410352, 7235440, -7.089999676
2013-12-09, 19:30:45.171, 23.391, 1, 1, -150.3506622, 103.1440048, 8409328, 7238512, -6.960000038
2013-12-09, 19:30:46.171, 24.391, 1, 1, -149.6953888, 103.1360016, 8408048, 7241200, -6.849999905
2013-12-09, 19:30:47.167, 25.387, 1, 1, -149.6108398, 103.1350021, 8407024, 7243888, -6.75
2013-12-09, 19:30:48.161, 26.381, 1, 1, -149.1193695, 103.1290054, 8405872, 7246448, -6.639999866
2013-12-09, 19:30:49.168, 27.388, 1, 1, -149.3677368, 103.1320038, 8405104, 7249008, -6.539999962
2013-12-09, 19:30:50.164, 28.384, 1, 1, -148.3795319, 103.1200027, 8403696, 7251568, -6.429999828
2013-12-09, 19:30:51.158, 29.378, 1, 1, -147.9726257, 103.1150055, 8402544, 7254256, -6.329999924
2013-12-09, 19:30:52.160, 30.38, 1, 1, -147.7242432, 103.1120071, 8401520, 7256816, -6.21999979
2013-12-09, 19:30:53.130, 31.35, 1, 1, -147.9726257, 103.1150055, 8400624, 7259632, -6.109999657
2013-12-09, 19:30:53.167, 31.387, 1, 1, -148.0518951, 103.1160049, 8400624, 7259760, -6.099999905
2013-12-09, 19:30:53.432, 31.652, 1, 1, -147.6449738, 103.1110077, 8400240, 7260272, -6.089999676
2013-12-09, 19:30:53.926, 32.146, 1, 1, -147.6449738, 103.1110077, 8399728, 7261680, -6.029999733
2013-12-09, 19:30:54.422, 32.642, 1, 1, -148.0518951, 103.1160049, 8399472, 7262960, -5.980000019
2013-12-09, 19:30:54.921, 33.141, 1, 1, -147.1482391, 103.1050034, 8398576, 7264240, -5.920000076
2013-12-09, 19:30:55.421, 33.641, 1, 1, -147.1482391, 103.1050034, 8398192, 7265392, -5.869999886
