date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.RawPressure, BaroSensor.RawTemperature, BaroSensor.Temperature
date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.RawPressure, BaroSensor.RawTemperature, BaroSensor.Temperature
2013-12-08, 19:23:38.525, 22.291, 1, 1, -147.0689697, 103.1040039, 8854768, 7868016, -10.0199995
2013-12-08, 19:23:39.525, 23.294, 1, 1, -146.4929504, 103.0970078, 8852976, 7871984, -9.849999428
2013-12-08, 19:23:39.525, 23.291, 1, 1, -146.4929504, 103.0970078, 8852976, 7871984, -9.849999428
2013-12-08, 19:23:40.525, 24.294, 1, 1, -146.413681, 103.0960083, 8851696, 7875440, -9.699999809
2013-12-08, 19:23:40.525, 24.291, 1, 1, -146.413681, 103.0960083, 8851696, 7875440, -9.699999809
2013-12-08, 19:23:41.525, 25.294, 1, 1, -145.6738434, 103.0870056, 8849904, 7879280, -9.550000191
2013-12-08, 19:23:41.526, 25.292, 1, 1, -145.6738434, 103.0870056, 8849904, 7879280, -9.550000191
2013-12-08, 19:23:42.529, 26.298, 1, 1, -145.3462067, 103.0830078, 8848368, 7882992, -9.399999619
2013-12-08, 19:23:42.529, 26.295, 1, 1, -145.3462067, 103.0830078, 8848368, 7882992, -9.399999619
2013-12-08, 19:23:43.529, 27.298, 1, 1, -145.5892944, 103.0860062, 8847216, 7886448, -9.25
2013-12-08, 19:23:43.529, 27.295, 1, 1, -145.5892944, 103.0860062, 8847216, 7886448, -9.25
2013-12-08, 19:23:44.529, 28.298, 1, 1, -144.5218201, 103.0730057, 8845296, 7890160, -9.109999657
2013-12-08, 19:23:44.529, 28.295, 1, 1, -144.5218201, 103.0730057, 8845296, 7890160, -9.109999657
2013-12-08, 19:23:45.529, 29.298, 1, 1, -144.3579865, 103.0710068, 8844016, 7893488, -8.960000038
2013-12-08, 19:23:45.529, 29.295, 1, 1, -144.3579865, 103.0710068, 8844016, 7893488, -8.960000038
2013-12-08, 19:23:46.529, 30.298, 1, 1, -144.1941681, 103.0690079, 8842608, 7897072, -8.819999695
2013-12-08, 19:23:46.529, 30.295, 1, 1, -144.1941681, 103.0690079, 8842608, 7897072, -8.819999695
2013-12-08, 19:23:47.529, 31.298, 1, 1, -143.6181488, 103.0620041, 8840944, 7900784, -8.670000076
2013-12-08, 19:23:47.530, 31.296, 1, 1, -143.6181488, 103.0620041, 8840944, 7900784, -8.670000076
2013-12-08, 19:23:48.529, 32.298, 1, 1, -143.1266937, 103.0560074, 8839536, 7903984, -8.539999962
2013-12-08, 19:23:48.529, 32.295, 1, 1, -143.1266937, 103.0560074, 8839536, 7903984, -8.539999962
2013-12-08, 19:23:49.529, 33.298, 1, 1, -142.883606, 103.0530014, 8838128, 7907440, -8.38999939
2013-12-08, 19:23:49.529, 33.295, 1, 1, -142.883606, 103.0530014, 8838128, 7907440, -8.38999939
2013-12-08, 19:23:50.529, 34.298, 1, 1, -141.97995, 103.0420074, 8836464, 7910768, -8.260000229
2013-12-08, 19:23:50.529, 34.295, 1, 1, -141.97995, 103.0420074, 8836464, 7910768, -8.260000229
2013-12-08, 19:23:51.529, 35.298, 1, 1, -142.799057, 103.052002, 8835568, 7914352, -8.109999657
2013-12-08, 19:23:51.530, 35.296, 1, 1, -142.799057, 103.052002, 8835568, 7914352, -8.109999657
2013-12-08, 19:23:52.529, 36.298, 1, 1, -141.0762939, 103.0310059, 8833520, 7917552, -7.980000019
2013-12-08, 19:23:52.529, 36.295, 1, 1, -141.0762939, 103.0310059, 8833520, 7917552, -7.980000019
2013-12-08, 19:23:53.533, 37.302, 1, 1, -141.4832001, 103.0360031, 8832496, 7920880, -7.839999676
2013-12-08, 19:23:53.534, 37.3, 1, 1, -141.4832001, 103.0360031, 8832496, 7920880, -7.839999676
2013-12-08, 19:23:54.533, 38.302, 1, 1, -141.6470184, 103.038002, 8831472, 7923952, -7.71999979
2013-12-08, 19:23:54.533, 38.299, 1, 1, -141.6470184, 103.038002, 8831472, 7923952, -7.71999979
2013-12-08, 19:23:55.533, 39.302, 1, 1, -140.748642, 103.0270081, 8829808, 7927280, -7.589999676
2013-12-08, 19:23:55.534, 39.3, 1, 1, -140.748642, 103.0270081, 8829808, 7927280, -7.589999676
2013-12-08, 19:23:56.533, 40.302, 1, 1, -140.0880737, 103.0190048, 8828400, 7930224, -7.460000038
2013-12-08, 19:23:56.534, 40.3, 1, 1, -140.0880737, 103.0190048, 8828400, 7930224, -7.460000038
2013-12-08, 19:23:57.533, 41.302, 1, 1, -139.9242554, 103.0170059, 8826992, 7933808, -7.319999695
2013-12-08, 19:23:57.533, 41.299, 1, 1, -139.9242554, 103.0170059, 8826992, 7933808, -7.319999695
2013-12-08, 19:23:58.533, 42.302, 1, 1, -139.0205994, 103.0060043, 8825328, 7937136, -7.179999828
2013-12-08, 19:23:58.534, 42.3, 1, 1, -139.0205994, 103.0060043, 8825328, 7937136, -7.179999828
2013-12-08, 19:23:59.533, 43.302, 1, 1, -139.5966187, 103.0130081, 8824560, 7940080, -7.059999943
